3月21日,,,
preparation,准备，准备工作，制剂，标本,,
gentle,文静的，温柔的；温和的，轻柔的,,
marvelous,绝妙的；非凡的；不可思议的，令人惊异的；不平常的,,
gather,聚集，召集；收集，采集；认为，推断；增加,,
formal,正式的，正规的，规范的；合法的；整齐的，,,
laundry,待洗（或正在洗涤、洗完）的衣物；洗衣房，洗衣店,,
statistic,统计数字，统计资料；统计学,,
calorie,卡（路里）（热量单位）；,,
fare,路费，旅费，交通费用；出租车乘客；饭菜；,,
evaluate,评价，评估，估值；求（方程式，公式，函数）的数值,,
recording,录音，录像；录制；记录,,
intensity,强烈，剧烈；（光、声音等的）强度,,
vital,至关重要的，充满活力的；生命的，维持生命所必需的,,
observation,观察，观测，监视；言论，评论；,,
feasible,可行的，行得通的，办得到的；很可能会发生的,,
entry,进入，加入；出场，参赛作品，条目,,
cultural,文化的，与文化有关的；艺术的，文艺的,,
terrify,使害怕，使恐惧，吓坏，使极度恐慌,,
quantity,量，数量；数目；大量，大批；,,
diverse,不同的，各式各样的,,
,,,
advertise,为……做广告，登广告；公布，征聘；宣扬；,,
enquire,询问，打听；问好，问候；求见,,
reserve,预订；保留，预留；拥有，保留,,
frequency,出现次数；频繁；频率,,
astonish,使吃惊，使惊讶,,
remark,言论，评述；评论，意见,,
citizen,市民，城镇居民；公民，国民,,
tone,语气，腔调，音色；气氛，基调，风格；色调,,
stressful,紧张的，压力大的,,
sustain,维持，保持；维持……的生命；遭受，经受；支撑，认可,,
promote,促进，提倡；升职，晋升；促销，推广；,,
career,职业，事业；职业生涯；,,
complaint,抱怨，投诉；不满的缘由，抱怨的问题；疾病，,,
efficient,生效的，效率高的；,,
breathe,呼吸；呼出，吐出；吸入；,,
sympathetic,同情的，有同情心的；赞同的，支持的；,,
actual,真实的，实际的，现实的；,,
endanger,使处于险境，危及,,
setting,环境，场合；背景，设置，档,,
likely,可能的，合适的，大概，很可能,,
distance,远处；疏远，隔阂；差异,,
,,,
consciousness,知觉，清醒；思想，意识；观念,,
surround,围绕，环绕；与...密切相关,,
accuse,控告，指控；指责，谴责，,,
negotiate,谈判，磋商，洽谈；商定，达成协议；,,
technological,技术的，科技的，工艺的,,
mislead,误导，将……引入歧途,,
electrical,电的，供电的，用电的,,
roof,屋顶，车顶；洞顶，上颚部,,
printing,印刷（术）；（书的）一次印刷；印刷字体,,
enthusiastic,热心的，热情的，非常感兴趣的,,
retain,保持，保留；保存，储存；,,
extended,延长了的，扩展了的；扩大，延长；延伸；持续,,
appropriate,合适的，相称的，适当的，恰当的,,
compel,强迫，迫使；使发生，促使；,,
operator,操作员；经营者；接线员，技工，,,
crack,破裂，裂开；崩溃，垮掉；砸开，破开,,
mill,磨坊，面粉厂；工厂，制造厂；磨面机,,
dispute,争论，辩论，纠纷,,
finding,结果，发现；判决，裁决；,,
