en,cn,
upper,上面的,上面的
mystery,"迷,神秘的人,神秘性",迷
bloom,开放，绽开，开花,
scare,惊吓；惊慌；惊恐；大恐慌,
guidance,领导；指引；引导；（教育、职业或心理方面的）咨询，建议；指导物；引导物；制导,
dominate,支配；控制；统治；耸立于；俯视；比…高；在…中占首要地位,
dryer,烘干机；干燥器；吹风机；干手器；烘手机；干燥剂；催干剂；速干剂；干燥工,
engage,从事，参加，与…交战，聘用,
expense,花费，费用，开支；,
finance,资金；财政；金融,
,,
cancer,癌；恶性肿瘤；癌症；痼疾；毒瘤,
evil,邪恶的；坏的；罪恶的；造成伤害的；有害的；罪恶的；,
stage,阶段，步骤，舞台,
employer,雇主；老板；雇用者；用人单位；使用者,
rank,地位，等级，序列,
amusing,逗人笑的；好笑的；引人发笑的,
undergo,经受；经历；遭受；忍受,
assign,指派；选派；分配；分派；布置；派遣；,
income,收入；所得；进款；收益；流入；注入,
concept,想法；观念；概念；思想；发明（或创造、设计）理念；概念；本质；属性；内涵；,
diversity,多样性；多元化；差异性；不同；（数量上的）差异性,
halt,停止；暂停；停止；终止；停顿；中断；,
basis,基础，根本；基本原则；准则；基准；,
hire,租用；雇用；临时雇用,
interaction,沟通；交流；相互作用；相互影响；交互；,
infant,婴儿，婴儿的,
furthermore,此外；再者；而且,
reveal,透露；泄露；披露；揭示；显示；表明；展示；,
exist,"存在,生存",
capture,捕获；俘获；（用武力）占领，夺取；吸引；激发；采集，捕获（数据）,
,,
yield,产量；产出；收益；利润；,
ensure,保证；确保；保证获得，担保,
rent,vt:租住；租赁；租用；租借；出租 n:租金；租费；房租；地租；,
document,文件；公文；证件；文档；证据；证物；文献,
aid,帮助；支援；援助；资助；救援物资；,
salary,薪水；工资,
contrast,差异，悬殊，截然不同,
stability,稳定（性）；稳固（性）；固定（性）；稳定（性）；稳定性；,
enable,使可能，使发生,
injury,伤；受伤；损伤；（身体受到的）伤害，损害；,
emperor,皇帝；（帝国的）君主；天蚕蛾；,
variety,各种各样，变化，变体,
emphasize,强调；重视；使突出；加强…的语气；重读,
artistic,艺术的，有艺术才能的,
goods,商品，货物，私人财产,
commercial,商业的，盈利的,
graduate,毕业生，毕业,
tax,税，税款,
related,有关系的，有亲戚关系的,
,,
indicator,指示，指示器，指针，转向灯,
council,地方议会，委员会,
amount,数量；数额；总数；总额；,
destructive,毁灭性的，造成破坏的,
visual,视觉的；视力的；形象化的；可见的,
secondary,次要的；第二的：继发的；中等的；中学的；间接的；二手的；,
pursue,追赶；追逐；追捕；追击；进行；实行；从事；追求；寻求；努力实现；追查；追问；,
moral,道德的；道德相关的；道德上的；道义上的；有道德的,
practical,实用的；实践的；实际的；务实的；注重实效的；实际的，切实可行的,
publication,出版；刊印；出版物；发表；公开；,
capability,能力；才能；实力；力量,
nationwide,全国性地；在全国,
territory,领土；领地；版图；管辖区；占领区；托管地；领域；领域；范围；,
kingdom,王国；国家；国土；界（某人占统治地位的）领域，范围,
confuse,使困惑；使迷惑；使模糊不清；混淆；使不安；,
crowd,群；人群；观众；（尤指社交或生意上的）一帮人，一伙人；,
vague,含糊的；不明确的；不清楚的；模糊的；不清晰的；,
offering,待售物；新作品；捐献；捐助；供品；祭品,
valley,山谷；溪谷；流域；低凹处；,
enforce,强迫，迫使（服从、效忠等）；强制执行；强行实施；,
philosopher,哲学家；哲学研究者；哲人；贤哲；,
boot,靴子；旅行靴；登山靴；足球靴；,
reality,现实；实体；实物；,
technique,工艺；技术；技艺；技能；技巧；,
transmission,传送；传递；输送；传达；传送物；传播；,
calculation,计算；计算结果；推测；估计；算计；,
superior,较好的；优良的；优秀的； 上级；长官；上司；,
severe,严厉的；苛刻的；极严重的；,
mere,仅仅；只不过 极小的,
waiter,男侍者，男服务员；,
compound,化合物；复合物；复合词；,
fulfill,实现；满足；执行；满足；履行；遵守；,
benefit,好处；益处；裨益；,
painful,疼痛的；导致疼痛的；令人痛苦的；,
panic,恐慌，惶恐，惊慌失措,
intelligent,智慧的；智能的；,
chief,领导；首领；酋长；上司；首要的，首席,
timber,木材；（统称）树木；林地；木梁；,
generation,一代人；同代人；同辈人；代，,
accord,协定；协议；条约；同意；赞同；,
throughout,自始至终；从头到尾；贯穿；遍及；遍布,
quote,引用；引述；把…放入引号；,
defense,防御；防卫；保卫；防卫者；,
battery,电池（组）；蓄电池（组）；一套；一批；一群；,
definition,定义；（对单词、词语等的）下定义；清晰；明显；,
suitable,适当的；合适的；适宜的,
analysis,分析；剖析；细察；分析；化验；,
strategy,战略；策略；规划；战略；韬略,
sharp,锋利的；尖的；尖头的；尖的；,
collapse,倒塌；垮塌；坍塌；突然病倒；垮台；,
spoil,破坏；弄糟；毁坏；毁掉；使腐败；使变质；,
efficiency,效率；能力；效力；效率；效能；效率；功率,
gap,缺口，开口，裂口；空当；豁口；间断，停顿，间隔；,
hunger,饥饿（感）；渴望；欲望,
scale,大小，规模，范围；尺度；标度；,
strive,奋斗；力求；斗争；抵抗,
proceed,前进；进行；从事；着手；继续进行；前进；,
institute,机构；学院；学会；协会；研究所；  制定；实施；发起；开始；提起；,
convey,运送；运载；传送；表示；传达；表达；,
expand,使增大；使扩大；提高；增加；扩大；增强；,
tutor,家庭教师；私人教师；导师；大学助教；,
crucial,决定性的；至关重要的；关键性的；极为重要的；,
religious,宗教的；虔诚的；笃信宗教的；严谨的；认真的；,
heritage,遗产；传统；遗迹；,
rating,等级；品级；级别；,
implement,履行，实施；执行；达到；贯彻， 工具，器具，用具,
abuse,虐待；滥用；妄用；辱骂；,
lawyer,律师；法律专家；精通法律者,
orbit,运行轨道，影响范围,
recommend,推荐，建议,
contain,容纳，包含,
collaboration,合作；协作；合作的产物；,
strength,体力；力气；力量；精神力量；,
mainstream,主流，主要倾向，主要趋势；,
faint,不清楚的；不明亮的；不响亮的；微弱的；不明显的；,
temper,心情；情绪；性情；脾气；怒气；火气；,
